slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
mqueue_inode_cache      1     30   1088   30    8 : tunables    0    0    0 : slabdata      1      1      0
erofs_pcluster-256      0      0   4232    7    8 : tunables    0    0    0 : slabdata      0      0      0
erofs_pcluster-128      0      0   2184   15    8 : tunables    0    0    0 : slabdata      0      0      0
erofs_pcluster-64      0      0   1160   28    8 : tunables    0    0    0 : slabdata      0      0      0
erofs_pcluster-16    240    240    392   20    2 : tunables    0    0    0 : slabdata     12     12      0
erofs_pcluster-4     200    200    200   20    1 : tunables    0    0    0 : slabdata     10     10      0
erofs_pcluster-1     234    234    152   26    1 : tunables    0    0    0 : slabdata      9      9      0
erofs_inode          240    240    784   20    4 : tunables    0    0    0 : slabdata     12     12      0
f2fs_casefolded_name    352    352    256   32    2 : tunables    0    0    0 : slabdata     11     11      0
f2fs_dic_entry       525    525    232   35    2 : tunables    0    0    0 : slabdata     15     15      0
f2fs_cic_entry       512    512     32  128    1 : tunables    0    0    0 : slabdata      4      4      0
f2fs_bio_entry_slab   1870   1870     24  170    1 : tunables    0    0    0 : slabdata     11     11      0
f2fs_bio_iostat_ctx   1920   1920     32  128    1 : tunables    0    0    0 : slabdata     15     15      0
f2fs_bio_post_read_ctx    765    765     80   51    1 : tunables    0    0    0 : slabdata     15     15      0
f2fs_victim_entry   2409   2774     56   73    1 : tunables    0    0    0 : slabdata     38     38      0
f2fs_extent_node    2912   2912     72   56    1 : tunables    0    0    0 : slabdata     52     52      0
f2fs_extent_tree   11837  13524     88   46    1 : tunables    0    0    0 : slabdata    294    294      0
f2fs_fsync_inode_entry      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
f2fs_inode_entry    1530   1530     24  170    1 : tunables    0    0    0 : slabdata      9      9      0
f2fs_ino_entry      3744   4250     24  170    1 : tunables    0    0    0 : slabdata     25     25      0
f2fs_revoke_entry   1664   1664     32  128    1 : tunables    0    0    0 : slabdata     13     13      0
f2fs_sit_entry_set   2210   2210     24  170    1 : tunables    0    0    0 : slabdata     13     13      0
f2fs_discard_cmd  139524 172944    112   36    1 : tunables    0    0    0 : slabdata   4804   4804      0
f2fs_discard_entry   1794   1794     88   46    1 : tunables    0    0    0 : slabdata     39     39      0
f2fs_fsync_node_entry   2560   2816     32  128    1 : tunables    0    0    0 : slabdata     22     22      0
f2fs_nat_entry_set   2550   2550     40  102    1 : tunables    0    0    0 : slabdata     25     25      0
f2fs_free_nid      19533  20740     24  170    1 : tunables    0    0    0 : slabdata    122    122      0
f2fs_nat_entry      4608   4608     32  128    1 : tunables    0    0    0 : slabdata     36     36      0
f2fs_inode_cache   17441  18690   1360   24    8 : tunables    0    0    0 : slabdata    784    784      0
ovl_aio_req            0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
ovl_inode              0      0    816   20    4 : tunables    0    0    0 : slabdata      0      0      0
fuse_bpf_aio_req       0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
fuse_request         312    312    152   26    1 : tunables    0    0    0 : slabdata     12     12      0
fuse_inode           918    918    960   34    8 : tunables    0    0    0 : slabdata     27     27      0
exfat_inode_cache      0      0    936   35    8 : tunables    0    0    0 : slabdata      0      0      0
exfat_cache            0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
fat_inode_cache        0      0    888   36    8 : tunables    0    0    0 : slabdata      0      0      0
fat_cache              0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
jbd2_transaction_s    352    352    256   32    2 : tunables    0    0    0 : slabdata     11     11      0
jbd2_inode            67    192     64   64    1 : tunables    0    0    0 : slabdata      3      3      0
jbd2_journal_handle    803    803     56   73    1 : tunables    0    0    0 : slabdata     11     11      0
jbd2_journal_head    374    374    120   34    1 : tunables    0    0    0 : slabdata     11     11      0
jbd2_revoke_table_s      2    512     16  256    1 : tunables    0    0    0 : slabdata      2      2      0
jbd2_revoke_record_s      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_fc_dentry_update      0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_inode_cache    2905   4416   1344   24    8 : tunables    0    0    0 : slabdata    184    184      0
ext4_free_data       803    803     56   73    1 : tunables    0    0    0 : slabdata     11     11      0
ext4_allocation_context    360    360    136   30    1 : tunables    0    0    0 : slabdata     12     12      0
ext4_prealloc_space    156    156    104   39    1 : tunables    0    0    0 : slabdata      4      4      0
ext4_system_zone     236    714     40  102    1 : tunables    0    0    0 : slabdata      7      7      0
ext4_io_end_vec        0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_io_end          896    896     64   64    1 : tunables    0    0    0 : slabdata     14     14      0
ext4_bio_post_read_ctx    128    128     64   64    1 : tunables    0    0    0 : slabdata      2      2      0
ext4_pending_reservation      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_extent_status   2473   3774     40  102    1 : tunables    0    0    0 : slabdata     37     37      0
mbcache              146    146     56   73    1 : tunables    0    0    0 : slabdata      2      2      0
kioctx               125    125    640   25    4 : tunables    0    0    0 : slabdata      5      5      0
aio_kiocb            168    168    192   21    1 : tunables    0    0    0 : slabdata      8      8      0
userfaultfd_ctx_cache    608    608    256   32    2 : tunables    0    0    0 : slabdata     19     19      0
dio                    0      0    640   25    4 : tunables    0    0    0 : slabdata      0      0      0
fasync_cache           0      0     48   85    1 : tunables    0    0    0 : slabdata      0      0      0
audit_tree_mark        0      0     80   51    1 : tunables    0    0    0 : slabdata      0      0      0
posix_timers_cache    903   1023    264   31    2 : tunables    0    0    0 : slabdata     33     33      0
kvm_vcpu               0      0   9712    3    8 : tunables    0    0    0 : slabdata      0      0      0
UNIX-STREAM          497    588   1152   28    8 : tunables    0    0    0 : slabdata     21     21      0
UNIX                 766    840   1152   28    8 : tunables    0    0    0 : slabdata     30     30      0
ip4-frags            222    222    216   37    2 : tunables    0    0    0 : slabdata      6      6      0
UDP-Lite               0      0   1280   25    8 : tunables    0    0    0 : slabdata      0      0      0
tcp_bind2_bucket    1088   1088     64   64    1 : tunables    0    0    0 : slabdata     17     17      0
tcp_bind_bucket      672    672    128   32    1 : tunables    0    0    0 : slabdata     21     21      0
inet_peer_cache      147    147    192   21    1 : tunables    0    0    0 : slabdata      7      7      0
xfrm_dst_cache         0      0    320   25    2 : tunables    0    0    0 : slabdata      0      0      0
xfrm_state             0      0    768   21    4 : tunables    0    0    0 : slabdata      0      0      0
ip_fib_trie          595    595     48   85    1 : tunables    0    0    0 : slabdata      7      7      0
ip_fib_alias         584    584     56   73    1 : tunables    0    0    0 : slabdata      8      8      0
ip_dst_cache         470    588    192   21    1 : tunables    0    0    0 : slabdata     28     28      0
PING                 183    183   1088   30    8 : tunables    0    0    0 : slabdata      7      7      0
RAW                  280    280   1152   28    8 : tunables    0    0    0 : slabdata     10     10      0
UDP                  461    503   1280   25    8 : tunables    0    0    0 : slabdata     21     21      0
tw_sock_TCP          435    435    280   29    2 : tunables    0    0    0 : slabdata     15     15      0
request_sock_TCP     264    264    328   24    2 : tunables    0    0    0 : slabdata     11     11      0
TCP                  232    273   2432   13    8 : tunables    0    0    0 : slabdata     21     21      0
dquot               1734   1856    256   32    2 : tunables    0    0    0 : slabdata     58     58      0
bio-288               36     75    320   25    2 : tunables    0    0    0 : slabdata      3      3      0
ep_head             3608   3840     16  256    1 : tunables    0    0    0 : slabdata     15     15      0
eventpoll_pwq       2255   2624     64   64    1 : tunables    0    0    0 : slabdata     41     41      0
