slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
scsi_sense_cache     448    448    128   32    1 : tunables    0    0    0 : slabdata     14     14      0
gcma_inode           230    230     88   46    1 : tunables    0    0    0 : slabdata      5      5      0
samsung-iommu-lv2table   5152   5152   1024   32    8 : tunables    0    0    0 : slabdata    161    161      0
samsung-iommu-lv1table     39     39 262144    1   64 : tunables    0    0    0 : slabdata     39     39      0
pcie-iommu-lv2table      0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
fsverity_info        360    360    272   30    2 : tunables    0    0    0 : slabdata     12     12      0
fscrypt_info       14470  14760    136   30    1 : tunables    0    0    0 : slabdata    492    492      0
wakeup_irq_node_cache      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
AF_VSOCK              44     44   1472   22    8 : tunables    0    0    0 : slabdata      2      2      0
bridge_fdb_cache       0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
nf-frags               0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
xfrm6_tunnel_spi       0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
ip6-frags              0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
fib6_nodes           192    192    128   32    1 : tunables    0    0    0 : slabdata      6      6      0
ip6_dst_cache        256    256    256   32    2 : tunables    0    0    0 : slabdata      8      8      0
ip6_mrt_cache          0      0    192   21    1 : tunables    0    0    0 : slabdata      0      0      0
PINGv6                 0      0   1344   24    8 : tunables    0    0    0 : slabdata      0      0      0
RAWv6                192    192   1344   24    8 : tunables    0    0    0 : slabdata      8      8      0
UDPLITEv6              0      0   1472   22    8 : tunables    0    0    0 : slabdata      0      0      0
UDPv6                198    198   1472   22    8 : tunables    0    0    0 : slabdata      9      9      0
tw_sock_TCPv6        116    116    280   29    2 : tunables    0    0    0 : slabdata      4      4      0
request_sock_TCPv6      0      0    328   24    2 : tunables    0    0    0 : slabdata      0      0      0
TCPv6                 96     96   2560   12    8 : tunables    0    0    0 : slabdata      8      8      0
xt_hashlimit           0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
nf_conncount_rb        0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
nf_conncount_tuple      0      0     72   56    1 : tunables    0    0    0 : slabdata      0      0      0
nf_conntrack_expect      0      0    232   35    2 : tunables    0    0    0 : slabdata      0      0      0
nf_conntrack         225    225    320   25    2 : tunables    0    0    0 : slabdata      9      9      0
fq_flow_cache          0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
ashmem_range_cache      0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
ashmem_area_cache    234    234    312   26    2 : tunables    0    0    0 : slabdata      9      9      0
